Nombre,Tipo,Equipamiento,Duracion(min),Calorias,Descripcion
Curl de biceps concentrado,Fuerza,Mancuernas,3,85,"Sentado en un banco, apoya el codo derecho en el muslo interno, haz curl con la mancuerna manteniendo el brazo fijo. Baja lentamente y repite."
Fondos en banco con peso,Fuerza,Mancuernas;Banco,3,100,"Sentado en el borde de un banco con las manos a los lados. Coloca una mancuerna sobre los muslos. Desliza las caderas hacia adelante y baja el cuerpo doblando los codos (90 grados), luego empuja hacia arriba."
Boxeo fantasma,Cardio,Ninguno,3,80,"De pie en posicion de boxeador (pies separados, rodillas flexionadas). Golpea alternando brazos al aire con movimientos rapidos y controlados, girando el torso."
Remo en T,Fuerza,Mancuernas,3,80,"Apoya una mano en banco, espalda paralela al suelo. Rema la mancuerna hacia la cadera, manteniendo el codo cerca del cuerpo."
Jump squat con banda,Cardio,Banda elastica,4,100,"Pisa banda con pies al ancho de hombros. Salta desde sentadilla manteniendo tension."
Flexion hindu,Fuerza,Ninguno,4,95,"Desde flexion, baja pecho al suelo arqueando espalda hacia arriba. Luego empuja cadera hacia atras."
Press militar sentado,Fuerza,Mancuernas;Banco,3,95,"Sentado en un banco con respaldo, sosten mancuernas a la altura de los hombros (palmas hacia adelante). Empuja hacia arriba hasta extender los brazos, luego baja controladamente."
Elevacion frontal alternada,Fuerza,Mancuernas,3,65,"De pie, levanta alternadamente cada mancuerna frente a ti hasta la altura de los hombros. Baja controladamente."
Abdominales V,Core,Ninguno,3,85,"Acostado, levanta torso y piernas simultaneamente formando una V. Baja con control."
Sentadillas,Fuerza,Ninguno,4,120,"De pie con los pies separados al ancho de los hombros y las puntas ligeramente hacia afuera. Baja el cuerpo como si fueras a sentarte en una silla, manteniendo la espalda recta y las rodillas alineadas con los dedos de los pies. Llega hasta donde puedas sin que las rodillas sobrepasen los dedos de los pies, luego vuelve a la posicion inicial."
Flexiones,Fuerza,Ninguno,3,100,"Acuestate boca abajo con las manos en el suelo a la altura de los hombros y los pies juntos. Levanta el cuerpo manteniendo una linea recta desde la cabeza hasta los talones. Baja el pecho hacia el suelo doblando los codos (deben formar un angulo de 45 grados con el cuerpo), luego empuja hacia arriba hasta extender los brazos."
Plancha,Core,Ninguno,3,80,"Colocate boca abajo apoyando los antebrazos en el suelo (codos alineados con los hombros) y las puntas de los pies. Levanta el cuerpo manteniendo una linea recta desde la cabeza hasta los talones. Contrae el abdomen y gluteos, y manten la posicion sin arquear la espalda."
Zancadas,Fuerza,Ninguno,4,110,"De pie, da un paso largo hacia adelante con una pierna. Baja el cuerpo hasta que ambas rodillas formen un angulo de 90 grados (la rodilla trasera no debe tocar el suelo). Manten el torso recto y el peso distribuido. Empuja con la pierna delantera para volver a la posicion inicial y alterna las piernas."
Elevacion de talones,Fuerza,Ninguno,2,50,"De pie con los pies separados al ancho de los hombros. Sujetate a una pared o silla para mantener el equilibrio. Eleva los talones del suelo apoyandote en las puntas de los pies, manten la posicion 1 segundo y baja lentamente."
Fondos de triceps,Fuerza,Banco,3,70,"Sientate en el borde de una silla resistente con las manos a los lados de las caderas. Desliza las caderas hacia afuera de la silla, apoyando el peso en los brazos. Flexiona los codos (apuntando hacia atras) para bajar el cuerpo hasta que los brazos formen un angulo de 90 grados, luego estira los brazos para subir."
Puente de gluteos,Core,Ninguno,3,80,"Acuestate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo (separados al ancho de las caderas). Levanta las caderas hasta que hombros, caderas y rodillas formen una linea recta. Aprieta los gluteos en la parte alta, manten 1 segundo y baja controladamente."
Superman,Core,Ninguno,2,60,"Acuestate boca abajo con los brazos extendidos hacia adelante y las piernas estiradas. Levanta simultaneamente brazos y piernas unos centimetros del suelo (como si volaras), manten la posicion 2 segundos concentrandote en contraer la zona lumbar, luego baja."
Crunch abdominal,Core,Ninguno,3,70,"Acuestate boca arriba con las rodillas flexionadas y los pies apoyados en el suelo. Coloca las manos detras de la cabeza sin tirar del cuello. Levanta la parte superior de la espalda del suelo usando solo los abdominales, manten 1 segundo en la posicion alta y baja controladamente sin dejar caer la cabeza."
Remo con mancuernas,Fuerza,Mancuernas,4,100,"De pie con las rodillas ligeramente flexionadas, inclina el torso hacia adelante (45 grados) manteniendo la espalda recta. Con las mancuernas colgando, eleva los codos hacia atras (como si remaras) hasta que las mancuernas lleguen a la altura de la cintura. Baja controladamente."
Peso muerto a una pierna,Fuerza,Mancuernas,3,90,"De pie con una mancuerna en la mano derecha. Inclinate hacia adelante levantando la pierna izquierda recta atras, manteniendo la espalda neutra. La mancuerna debe bajar hacia el pie derecho. Vuelve a la posicion inicial y repite antes de cambiar de lado."
Mountain climbers,Cardio,Ninguno,4,120,"En posicion de plancha alta (manos bajo hombros), lleva alternadamente las rodillas hacia el pecho a alta velocidad, como si escalaras. Manten el core activo para evitar que las caderas se eleven."
Press de banca,Fuerza,Mancuernas;Banco,4,110,"Acostado boca arriba en un banco con una mancuerna en cada mano (palmas hacia adelante). Baja las mancuernas hasta que los codos formen 90 grados, luego empuja hacia arriba hasta extender los brazos sin bloquear los codos. Manten los pies apoyados en el suelo."
Zancadas con elevacion,Fuerza,Mancuernas;Banco,4,120,"De pie frente a un banco, sosten mancuernas a los lados. Sube el pie derecho al banco, presiona con el talon para elevar el cuerpo y lleva la rodilla izquierda hacia arriba. Baja controladamente y repite con la pierna opuesta."
Fondos en banco a una pierna,Fuerza,Banco,3,85,"Realiza fondos de triceps elevando una pierna recta frente a ti. Alterna piernas cada serie."
Step-up con rodilla alta,Fuerza,Banco,4,100,"Sube al banco llevando la rodilla contraria hacia el pecho al estar arriba. Baja controladamente."
Press de pecho con banda,Fuerza,Banda elastica,3,80,"Sujeta banda a espalda. Presiona hacia adelante hasta extender brazos, resistiendo la tension."
Sentadilla con banda,Fuerza,Banda elastica,4,90,"Pisa la banda con pies al ancho de hombros. Haz sentadilla manteniendo tension en la banda."
Patada de gluteo con banda,Fuerza,Banda elastica,3,70,"En cuadrupedia, coloca banda en pies. Extiende pierna hacia atras contrayendo gluteos."
Rotacion de torso con banda,Core,Banda elastica,3,60,"Sujeta banda fija a un lado. Gira torso alejandote de la banda, controlando el movimiento."
Curl de biceps con banda,Fuerza,Banda elastica,3,65,"Pisa la banda con ambos pies. Haz curl manteniendo codos pegados al cuerpo."
Elevacion lateral con banda,Fuerza,Banda elastica,3,55,"Pisa la banda con un pie. Levanta brazo lateralmente hasta altura de hombros."
Remo con banda sentado,Fuerza,Banda elastica,4,75,"Sientate con piernas extendidas, banda en pies. Rema hacia la cintura con codos atras."
Flexion con banda,Fuerza,Banda elastica,3,85,"Coloca banda en espalda (sujeta con manos). Haz flexiones resistiendo la tension."
Extension de triceps con banda,Fuerza,Banda elastica,3,70,"Sujeta banda detras de la cabeza. Extiende brazos hacia arriba contrayendo triceps."
Hip abduction con banda,Fuerza,Banda elastica,3,65,"Acostado de lado, banda alrededor de tobillos. Levanta pierna superior contra resistencia."
Sentadilla con salto,Cardio,Ninguno,4,110,"Desde sentadilla, salta explosivamente extendiendo brazos hacia arriba. Aterriza suavemente."
Spider plank,Core,Ninguno,3,80,"En plancha alta, lleva rodilla hacia codo del mismo lado alternadamente. Manten cadera baja."
Burpee sin flexion,Cardio,Ninguno,4,100,"Agachate, lanza piernas atras, salta hacia adelante y luego salta verticalmente."
Escorpion,Core,Ninguno,3,70,"Boca abajo, levanta brazo derecho y pierna izquierda cruzando hacia el lado opuesto. Alterna."
Flexion diamante escalonada,Fuerza,Ninguno,3,85,"Manos en diamante. Haz flexion bajando pecho al suelo, luego levanta una mano hacia adelante. Alterna."
Salto de rana,Cardio,Ninguno,3,90,"Desde cuclillas, salta hacia adelante llevando manos al suelo. Repite en movimiento fluido."
Plancha con rotacion,Core,Ninguno,4,75,"En plancha baja, gira torso llevando brazo hacia el techo. Alterna lados manteniendo cadera estable."
Sentadilla isometrica,Fuerza,Ninguno,3,65,"Manten posicion de sentadilla (muslos paralelos al suelo) durante 30 segundos. Descansa y repite."
Cangrejo,Core,Ninguno,3,70,"Sentado con manos y pies en suelo, eleva caderas. Camina hacia adelante/atras con core activo."
Salto lateral,Cardio,Ninguno,3,80,"Salta de lado a lado sobre una linea imaginaria, aterrizando suavemente en semiflexion."
Flexion de brazos en L,Fuerza,Ninguno,3,75,"Manos en el suelo, pies elevados contra pared en L. Haz flexiones manteniendo posicion."
Patada de gluteo en cuadrupedia,Fuerza,Ninguno,3,60,"A cuatro patas, levanta pierna flexionada hacia el techo contrayendo gluteo. Alterna."
Prensa de hombros en sentadilla,Fuerza,Mancuernas,4,110,"En sentadilla, sosten mancuernas a la altura de los hombros. Al levantarte, presiona las mancuernas hacia arriba. Baja en control."
Fly invertido,Fuerza,Mancuernas,3,75,"Acostado boca abajo en banco inclinado, abre los brazos con mancuernas hasta alinearlos con los hombros. Junta las mancuernas frente a ti."
Sentadilla goblet,Fuerza,Mancuernas,4,105,"Sujeta una mancuerna cerca del pecho (agarre vertical). Haz sentadilla manteniendo los codos dentro de las rodillas. Sube presionando con los talones."
Curl de muneca,Fuerza,Mancuernas,2,50,"Sentado, antebrazos sobre muslos, sujeta mancuernas con palmas hacia arriba. Flexiona las munecas hacia arriba y baja lentamente."
Press de triceps a un brazo,Fuerza,Mancuernas,3,70,"De pie, levanta una mancuerna sobre la cabeza. Baja detras de la nuca doblando solo el codo. Extiende el brazo y repite."
Paseo del granjero,Fuerza,Mancuernas,5,120,"Sosten mancuernas pesadas a los lados. Camina erguido contrayendo el core durante 30 segundos. Descansa y repite."
Sentadilla sumo con mancuerna,Fuerza,Mancuernas,4,100,"Pies mas anchos que hombros, punta hacia afuera. Sosten una mancuerna con ambas manos. Baja manteniendo la espalda recta."
Curl predicador,Fuerza,Mancuernas;Banco,3,85,"Apoya el brazo en un banco inclinado, haz curl de biceps aislando el movimiento. Baja lentamente sin hiperextender."
Press inclinado cerrado,Fuerza,Mancuernas,4,95,"Acostado en banco inclinado, presiona mancuernas con agarre estrecho (palmas enfrentadas). Enfocate en triceps y pecho."
Elevacion de piernas en banco,Core,Banco,3,75,"Acostado boca arriba en banco, sujetate del borde. Eleva piernas rectas hasta 90 grados y baja lentamente."
Zancada lateral en banco,Fuerza,Banco,4,85,"De pie al lado del banco, sube con la pierna mas cercana y empuja la cadera hacia arriba. Alterna."
Abdominales en banco inclinado,Core,Banco,3,80,"Ajusta el banco a 30 grados. Sujeta los soportes y haz crunch elevando el torso contra la gravedad."
Puente unilateral en banco,Core,Banco,3,70,"Apoya hombros en banco, un pie en el suelo. Eleva caderas contrayendo gluteos. Alterna piernas."
Escalada en banco,Cardio,Banco,4,110,"En posicion de flexion con manos en banco, lleva rodillas al pecho alternadamente a alta velocidad."
Press militar en banco,Fuerza,Banco;Mancuernas,3,90,"Sentado en banco con respaldo, presiona mancuernas hacia arriba con core firme."
Hip thrust en banco,Fuerza,Banco,4,105,"Apoya espalda alta en banco, pies en suelo. Eleva caderas contrayendo gluteos en la parte alta."
Balanceo en banco,Cardio,Banco,3,95,"Sentado en borde del banco, lleva rodillas al pecho y balancea hacia atras, impulsandote con core."
Wall sit,Fuerza,Ninguno,3,90,"Apoya la espalda contra una pared y desliza hacia abajo hasta que las rodillas formen 90 grados. Los muslos deben quedar paralelos al suelo. Manten la posicion sin dejar que las rodillas sobrepasen los dedos de los pies."
Jumping jacks,Cardio,Ninguno,3,100,"De pie, salta separando piernas al ancho de hombros mientras levantas los brazos lateralmente hasta tocarse arriba. Vuelve a la posicion inicial en un salto. Manten un ritmo constante."
Push-up con rotacion,Fuerza,Ninguno,4,100,"Haz una flexion estandar. Al subir, gira el torso extendiendo el brazo derecho hacia el techo. Vuelve a la posicion y repite con el brazo izquierdo."
Abdominales bicicleta,Core,Ninguno,3,90,"Acostado boca arriba, manos detras de la cabeza. Lleva el codo derecho hacia la rodilla izquierda mientras estiras la pierna derecha. Alterna lados en movimiento fluido."
Levantamiento pelvico,Core,Ninguno,3,80,"Acostado boca arriba con las rodillas flexionadas. Eleva las caderas contrayendo gluteos hasta formar linea recta hombros-rodillas. Baja lentamente sin tocar el suelo."
Saltos de estrella,Cardio,Ninguno,3,120,"Similar a jumping jacks pero con salto mas amplio: piernas y brazos se abren en X al saltar, y se cierran al caer. Aterriza suavemente."
Estocadas laterales,Fuerza,Ninguno,4,100,"De pie, da un paso amplio hacia la derecha flexionando esa rodilla (muslo paralelo al suelo). La pierna izquierda permanece estirada. Vuelve al centro y repite hacia el lado opuesto."
